Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,43,0.5,39,5767,43,0.7,38,8001,44,0.6,40
"Under 6 years",3461,33,0.6,30,1581,35,0.9,32,1580,32,0.7,30
"6–11 years",1553,44,1.1,41,733,43,1.5,40,693,44,1.6,41
"12–19 years",1659,45,1.2,39,711,47,1.9,43,796,43,1.3,39
"20–59 years",5921,46,0.8,41,1939,46,1.5,40,3484,47,1,42
"60 years and over",2588,38,0.8,34,803,37,1.8,34,1448,38,0.8,35
