Age,Median
"All ages",246
"2–11 months",43
"1–2 years",137
"3–5 years",157
"6–11 years",196
"12–15 years",222
"16–19 years",292
"20–29 years",301
"30–39 years",288
"40–49 years",269
"50–59 years",262
"60–69 years",223
"70–79 years",225
"80 years and over",191
