| Age               | Median |
| ----------------- | ------ |
| All ages          | 166    |
| 2–11 months       | 43     |
| 1–2 years         | 135    |
| 3–5 years         | 142    |
| 6–11 years        | 166    |
| 12–15 years       | 171    |
| 16–19 years       | 170    |
| 20–29 years       | 190    |
| 30–39 years       | 187    |
| 40–49 years       | 175    |
| 50–59 years       | 169    |
| 60–69 years       | 147    |
| 70–79 years       | 147    |
| 80 years and over | 132    |
