| Age                | Mean  |
| ------------------ | ----- |
| 8–11               | 0.567 |
| 12–15              | 0.698 |
| 16–19              | 0.74  |
| 20–29              | 0.751 |
| 30–39              | 0.76  |
| 40–49              | 0.757 |
| 50–59              | 0.731 |
| 60–69              | 0.696 |
| 70–79              | 0.655 |
| 80+                | 0.612 |
| 20+ (age-adjusted) | 0.731 |
