Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,18.7,0.35,13.4,4929,19.5,0.65,14.3,7770,18.5,0.39,13.2
"Under 6 years",3410,25.6,0.44,21.9,1564,25.4,0.75,20.9,1548,25.4,0.64,21.9
"6–11 years",1581,24.1,0.85,21.6,713,24.4,1.76,22.9,746,24.1,0.83,21.2
"12–19 years",1462,21.9,0.99,17,634,18,1.4,13.5,674,23.3,1.21,19.3
"20–59 years",5019,16.5,0.55,10.5,1390,17.7,1.28,9.1,3226,16.5,0.58,10.7
"60 years and over",2451,16.5,0.45,12,628,13.2,0.92,8.2,1576,16.9,0.52,12.4
