Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",23.5,26.2,27.6,30,38,47.5,53.9,57.8,64.8
"12–15 years",39,42.6,44.9,48.2,55,64.4,72.7,79.1,88.5
"16–19 years",45.8,48.2,50.5,53.8,61.2,72.3,82.4,90,99.1
"20–39 years",50.1,53.1,55.5,59.1,68.9,82.9,92.6,100.6,113.4
"40–59 years",52.1,55.3,58,62.7,73.8,88.1,97.2,104.2,116.1
"60–79 years",52,55.8,58.3,62.9,72,83.2,91.4,96.5,106.8
"80 years and older",45.4,48.8,51.5,54.9,62.8,71.9,77,80.1,89.2
"20 years and older (crude)",50.7,54.1,56.6,60.8,71,84.6,93.8,100.8,112
