| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th  | 90th  | 95th  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ----- | ----- | ----- |
| 8–11  | 24.4 | 26.5 | 28   | 30   | 36   | 44.3 | 49.9  | 54.6  | 62.9  |
| 12–15 | 35.5 | 39.2 | 42.8 | 48.2 | 58.4 | 70.1 | 79.4  | 85.2  | 97.5  |
| 16–19 | 54.6 | 57.3 | 59.6 | 63.6 | 72.8 | 86.3 | 96    | 102.5 | 112.4 |
| 20–39 | 59.8 | 64.3 | 67.4 | 72.1 | 82.6 | 95.7 | 104.4 | 110.6 | 124.6 |
| 40–59 | 65   | 69.3 | 72.8 | 78.1 | 87.7 | 99.9 | 107.5 | 112.5 | 122.8 |
| 60–79 | 62   | 66.3 | 70.2 | 75   | 85.3 | 97   | 104.2 | 110.2 | 118.1 |
| 80+   | 56.4 | 60.6 | 64   | 67.6 | 74.9 | 84.2 | 89.8  | 93.1  | 101.1 |
| 20+   | 61.5 | 66.1 | 69.5 | 74.8 | 84.9 | 97.6 | 105.4 | 111.1 | 122   |
