"Cause of death (both sexes, 5–9 years)","Percent"
"All causes",100
"Accidents (unintentional injuries)",30.6
"Malignant neoplasms",15.9
"Congenital malformations, deformations and chromosomal abnormalities",8.2
"Assault (homicide)",6.6
"Diseases of heart",3.9
"Chronic lower respiratory diseases",3
"Influenza and pneumonia",2.2
"Cerebrovascular diseases",1.6
Septicemia,1.5
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",1.3
"All other causes",25.1
