"Cause of death (males, 5–9 years)","Percent"
"All causes",100
"Accidents (unintentional injuries)",32.3
"Malignant neoplasms",15
"Congenital malformations, deformations and chromosomal abnormalities",8.2
"Assault (homicide)",7.5
"Chronic lower respiratory diseases",3.6
"Diseases of heart",3.3
"Influenza and pneumonia",1.9
"Cerebrovascular diseases",1.6
Septicemia,1.1
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.9
"All other causes",24.7
