| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.28           |
| 3     | 0.35           |
| 4     | 0.46           |
| 5     | 0.41           |
| 6     | 0.78           |
| 7     | 0.92           |
| 8     | 0.94           |
| 9     | 1.14           |
| 10    | 1.22           |
| 11    | 1.05           |
| 12    | 1.36           |
| 13    | 1.49           |
| 14    | 1.4            |
| 15    | 1.43           |
| 16    | 1.69           |
| 17    | 1.5            |
| 18    | 1.72           |
| 19    | 1.88           |
| 20+   | 0.34           |
| 20–29 | 0.51           |
| 30–39 | 0.59           |
| 40–49 | 0.66           |
| 50–59 | 0.75           |
| 60–69 | 0.67           |
| 70–79 | 0.73           |
| 80+   | 0.73           |
