Age,"Standard error"
"2 years",0.2
"3 years",0.31
"4 years",0.25
"5 years",0.31
"6 years",0.64
"7 years",0.63
"8 years",0.72
"9 years",0.91
"10 years",0.83
"11 years",1.02
"12 years",1.2
"13 years",1.35
"14 years",1.91
"15 years",1.54
"16 years",1.25
"17 years",1.26
"18 years",1.35
"19 years",1.33
"20 years and older",0.3
"20–29 years",0.43
"30–39 years",0.46
"40–49 years",0.54
"50–59 years",0.58
"60–69 years",0.49
"70–79 years",0.57
"80 years and older",0.67
