Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,114,1.1,99,10696,106,1.6,91,15771,116,1.4,101
"Under 6 years",6871,66,0.8,62,3145,70,1.2,65,3128,65,1,61
"6–11 years",3134,96,1.7,87,1446,97,2.9,86,1439,96,2.1,88
"12–19 years",3121,117,2.4,102,1345,114,3.3,100,1470,118,3.3,103
"20–59 years",10940,127,1.6,111,3329,124,2.8,105,6710,128,1.9,112
"60 years and over",5039,100,1.3,89,1431,87,2.6,78,3024,104,1.6,92
