Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.475,0.5,0.515,0.539,0.586,0.638,0.67,0.696,0.728
"12–15 years",0.61,0.641,0.661,0.697,0.759,0.815,0.845,0.869,0.907
"16–19 years",0.682,0.715,0.734,0.765,0.821,0.882,0.918,0.945,0.978
"20–29 years",0.703,0.735,0.751,0.784,0.842,0.903,0.939,0.967,1.018
"30–39 years",0.714,0.746,0.766,0.798,0.864,0.943,0.978,1.013,1.056
"40–49 years",0.711,0.736,0.761,0.797,0.874,0.953,0.994,1.031,1.078
"50–59 years",0.666,0.702,0.727,0.765,0.84,0.929,0.982,1.012,1.056
"60–69 years",0.625,0.656,0.685,0.719,0.805,0.893,0.951,0.986,1.048
"70–79 years",0.597,0.638,0.66,0.695,0.768,0.854,0.904,0.932,0.99
"80 years and over",0.552,0.586,0.612,0.641,0.721,0.809,0.855,0.89,0.955
