Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",2225,84,0.5,57,74,84,92,101
"18–39 years",306,87,1,62,81,90,95,102
"40–59 years",710,87,0.6,69,80,89,93,103
"60 years and over",1209,74,0.5,49,66,74,83,93
