Age,"Standard deviation"
"7-74 years",24.2
"7-11 years",12.3
"12-17 years",12.5
"18-24 years",13.6
"25-34 years",13
"35-44 years",20
"45-54 years",22.7
"55-64 years",24.1
"65-74 years",26.9
