| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 22.8               |
| 7-11 years  | 11.8               |
| 12-17 years | 12.7               |
| 18-24 years | 13.6               |
| 25-34 years | 14.3               |
| 35-44 years | 17.3               |
| 45-54 years | 22.6               |
| 55-64 years | 23.6               |
| 65-74 years | 26.3               |
