| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 21.2               |
| 7-11 years  | 11.3               |
| 12-17 years | 12.8               |
| 18-24 years | 11.6               |
| 25-34 years | 14.1               |
| 35-44 years | 13.6               |
| 45-54 years | 22.4               |
| 55-64 years | 22.5               |
| 65-74 years | 25.4               |
