"Percentage with bachelor’s degree or higher","Standard error in thousands"
"All visits",42950
"Quartile 1 (0–1283)",16854
"Quartile 2 (1284–1966)",18082
"Quartile 3 (1967–3168)",14862
"Quartile 4 (3169 and over)",17662
