Age,"Standard deviation"
"7-17 years (education : head of the household)",9.8
"7-11 years (education : head of the household)",8.6
"12-17 years (education : head of the household)",10.6
"18-74 years",14.2
"18-24 years",7.3
"25-34 years",10
"35-44 years",12.8
"45-54 years",14.2
"55-64 years",13.9
"65-74 years",13.8
