Age,"Standard deviation"
"7-17 years (education : head of the household)",10.6
"7-11 years (education : head of the household)",8.5
"12-17 years (education : head of the household)",11.8
"18-74 years",14.8
"18-24 years",7.5
"25-34 years",11.7
"35-44 years",13
"45-54 years",17.4
"55-64 years",14.2
"65-74 years",14.1
