Age,"Standard deviation"
"7-17 years (education : head of the household)",11.3
"7-11 years (education : head of the household)",8.2
"12-17 years (education : head of the household)",12.9
"18-74 years",15.2
"18-24 years",6.8
"25-34 years",11.2
"35-44 years",13.1
"45-54 years",17.4
"55-64 years",14.1
"65-74 years",14.3
