Age,All,"Never maried","Ever maried",Married,Widowed,Divorced,"Not stated"
"15 years and over",1154346,141778,1005791,645170,223372,137249,6777
"15–24 years",23071,21247,1748,1493,49,206,76
"25–34 years",27890,16615,11052,8218,148,2686,223
"35–44 years",57297,21731,34894,22160,656,12078,672
"45–54 years",100398,20464,78736,49298,2125,27313,1198
"55–64 years",143321,15303,126632,87351,7278,32003,1386
"65–74 years",247408,18119,227798,164106,30800,32892,1491
"75 years and older",554961,28299,524931,312544,182316,30071,1731
