Age,Mean
"8–11 years",4.3
"12–15 years",7.4
"16–19 years",9.5
"20–39 years",9.8
"40–59 years",9.7
"60–79 years",8.8
"80 years and older",7.7
"20 years and older (crude)",9.5
"20 years and older (age adjusted)",9.5
