Age,"Standard error"
"All ages",4.5
"2–11 months",1.5
"1–2 years",3.7
"3–5 years",5.3
"6–11 years",10.3
"12–15 years",13
"16–19 years",13
"20–29 years",12.7
"30–39 years",8.8
"40–49 years",8.3
"50–59 years",19.5
"60–69 years",6.6
"70–79 years",29.7
"80 years and over",7.7
