| Age   | 5th    | 10th   | 15th   | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 31.66  | 34.58  | 36.54  | 39.95  | 47.16  | 54.82  | 60.56  | 62.91  | 68.9   |
| 12–15 | 45.08  | 51.36  | 54.81  | 62.67  | 80.49  | 101.35 | 112.53 | 118.63 | 130.75 |
| 16–19 | 83.53  | 90.69  | 96.89  | 105.59 | 119.8  | 136.58 | 146.45 | 153.65 | 165.4  |
| 20–29 | 96.68  | 102.45 | 107.5  | 114.71 | 130.73 | 148.17 | 159.06 | 168.33 | 185.33 |
| 30–39 | 97.91  | 105.49 | 111.72 | 119.73 | 136.34 | 157.13 | 170.66 | 181.39 | 200.02 |
| 40–49 | 102.57 | 110.34 | 115.05 | 123.76 | 143.85 | 165.55 | 180.56 | 190.33 | 206.74 |
| 50–59 | 96.14  | 106.79 | 112.73 | 122.42 | 140.87 | 164.78 | 180.83 | 189.79 | 207.51 |
| 60–69 | 92.57  | 102.89 | 110.58 | 120.9  | 143.26 | 169.23 | 187.29 | 197.47 | 215    |
| 70–79 | 83.82  | 94.87  | 103.34 | 113.83 | 136    | 159.5  | 174.84 | 183.07 | 201.07 |
| 80+   | 76.52  | 84.43  | 92.08  | 102.01 | 123.36 | 146.21 | 159.83 | 170.12 | 184.23 |
