| Age    | 5th | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ------ | --- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 3m–5m  | \*  | 7.9  | 8.3  | 9.2  | 10.7 | 11.7 | 12.5 | 13.2 | \*   |
| 6m–8m  | \*  | 7.3  | 7.9  | 8.5  | 9.9  | 11.6 | 12.5 | 13.3 | \*   |
| 9m–11m | \*  | 7.1  | 7.4  | 8.1  | 9.2  | 10.7 | 11.1 | 11.8 | \*   |
| 1      | 6.4 | 6.9  | 7.2  | 7.9  | 9.1  | 10.7 | 11.7 | 12.1 | 13.1 |
| 2      | 6.4 | 6.7  | 7.3  | 7.9  | 8.9  | 10.4 | 11.1 | 11.5 | 12.4 |
| 3      | \*  | 6.4  | 6.8  | 7.3  | 8.6  | 10   | 10.8 | 11.6 | \*   |
| 4      | 6   | 6.6  | 6.8  | 7.3  | 8.6  | 10   | 11.4 | 12   | 12.9 |
| 5      | 6   | 6.3  | 6.8  | 7.2  | 8.1  | 9.5  | 10.3 | 11.3 | 13   |
| 6      | \*  | 6    | 6.4  | 7.1  | 8.5  | 10.8 | 12.9 | 14.9 | \*   |
| 7      | \*  | 6.1  | 6.4  | 7.1  | 8.7  | 10.7 | 13.3 | 16.8 | \*   |
| 8      | \*  | 6.3  | 6.4  | 7.3  | 8.8  | 12.3 | 15.7 | 20.1 | \*   |
| 9      | \*  | 6.6  | 6.8  | 7.4  | 9.7  | 15.4 | 21.3 | 23.9 | \*   |
| 10     | \*  | 6    | 6.9  | 8.2  | 10.4 | 15.5 | 20.8 | 22.3 | \*   |
| 11     | \*  | 6.7  | 7.2  | 8.6  | 11.3 | 18.2 | 19.5 | 22.3 | \*   |
| 12     | \*  | \*   | 7.6  | 8.6  | 12.9 | 17.4 | 19.2 | \*   | \*   |
| 13     | \*  | \*   | 6.4  | 7.1  | 10.5 | 15.7 | 19.7 | \*   | \*   |
| 14     | \*  | \*   | 6.2  | 6.7  | 8.3  | 13.4 | 17   | \*   | \*   |
| 15     | \*  | \*   | 6    | 6.7  | 9.5  | 13.8 | 19.2 | \*   | \*   |
| 16     | \*  | \*   | 6.6  | 7.1  | 8.6  | 13.6 | 17   | \*   | \*   |
| 17     | \*  | \*   | 5.8  | 7.2  | 8.9  | 12.8 | 19.2 | \*   | \*   |
| 18     | \*  | \*   | 5.7  | 6.3  | 8.3  | 12.6 | 16.8 | \*   | \*   |
| 19     | \*  | \*   | 6.3  | 7.5  | 9.5  | 12.2 | 21.9 | \*   | \*   |
| 20+    | 5.7 | 6.6  | 7.4  | 8.7  | 11.9 | 15.7 | 18.5 | 21.3 | 25.3 |
| 20–29  | 5.2 | 5.8  | 6.2  | 7.6  | 10.5 | 15.3 | 17.8 | 20   | 24.1 |
| 30–39  | 5.6 | 6.6  | 7.3  | 8.8  | 11.6 | 15.5 | 18.1 | 20.8 | 26.7 |
| 40–49  | 5.9 | 6.9  | 7.7  | 9.3  | 12.3 | 16.1 | 19.8 | 21.9 | 25   |
| 50–59  | 6.6 | 7.5  | 8    | 9.4  | 12.6 | 16   | 18.7 | 21.8 | 25.2 |
| 60–69  | 6.9 | 7.7  | 8.5  | 10.1 | 12.7 | 17.1 | 20.2 | 23.1 | 25.6 |
| 70–79  | 6.3 | 7.3  | 7.9  | 9    | 12.4 | 16   | 18.8 | 20.6 | 24.4 |
| 80+    | 5.4 | 6.6  | 7.6  | 8.7  | 11.2 | 13.8 | 16.2 | 18   | 22.3 |
