| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.4               |
| 7-11 years  | 9.2                |
| 12-17 years | 9.8                |
| 18-24 years | 9.6                |
| 25-34 years | 10.4               |
| 35-44 years | 10.7               |
| 45-54 years | 13.3               |
| 55-64 years | 11.9               |
| 65-74 years | 12.2               |
