| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 12.8               |
| 7-11 years  | 10.1               |
| 12-17 years | 9.4                |
| 18-24 years | 9.8                |
| 25-34 years | 9.6                |
| 35-44 years | 11.3               |
| 45-54 years | 13.4               |
| 55-64 years | 12                 |
| 65-74 years | 12.5               |
