Age,"Standard deviation"
"7-74 years",13.3
"7-11 years",9.7
"12-17 years",9.7
"18-24 years",10.1
"25-34 years",10.6
"35-44 years",11.4
"45-54 years",13.6
"55-64 years",12
"65-74 years",12.4
