Age,Mean
"8–11 years",1177.39
"12–15 years",1921.44
"16–19 years",2641.98
"20–29 years",2789.47
"30–39 years",2781.15
"40–49 years",2787.27
"50–59 years",2707.98
"60–69 years",2662.58
"70–79 years",2521.47
"80 years and over",2374.86
"20 years and over (age-adjusted)",2720.04
