Age,"Standard deviation"
"7-74 years",20.1
"7-11 years",12.1
"12-17 years",13.4
"18-24 years",13.3
"25-34 years",14.9
"35-44 years",16.7
"45-54 years",21.7
"55-64 years",21.9
"65-74 years",27.1
