Age,"Standard deviation"
"7-74 years",19.2
"7-11 years",12.1
"12-17 years",13.1
"18-24 years",12.6
"25-34 years",14.2
"35-44 years",14.9
"45-54 years",20.5
"55-64 years",19.1
"65-74 years",22.6
