| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 20.8               |
| 7-11 years  | 12                 |
| 12-17 years | 13.8               |
| 18-24 years | 12.2               |
| 25-34 years | 13.5               |
| 35-44 years | 17.9               |
| 45-54 years | 22.9               |
| 55-64 years | 25.1               |
| 65-74 years | 30.3               |
