Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,11.8,0.12,10,4929,10.8,0.26,8.7,7770,12,0.15,10.3
"Under 6 years",3410,6.3,0.13,5.6,1564,6.4,0.21,5.7,1548,6.4,0.15,5.6
"6–11 years",1581,9.1,0.28,8,713,9.6,0.4,8.3,746,9,0.35,8
"12–19 years",1462,10.7,0.28,9,634,9.8,0.31,8.4,674,10.9,0.37,9.3
"20–59 years",5019,13.1,0.14,11.2,1390,13.3,0.51,10.6,3226,13.1,0.16,11.4
"60 years and over",2451,12.7,0.27,11.1,628,10.3,0.46,8.5,1576,13,0.31,11.5
