Age,"Standard deviation"
"7-17 years (education : head of the household)",13.7
"7-11 years (education : head of the household)",12.6
"12-17 years (education : head of the household)",13.3
"18-74 years",22.1
"18-24 years",13.5
"25-34 years",14.4
"35-44 years",19.1
"45-54 years",22.6
"55-64 years",24
"65-74 years",24.7
