Age,"Standard deviation"
"7-17 years (education : head of the household)",14
"7-11 years (education : head of the household)",11.7
"12-17 years (education : head of the household)",13.7
"18-74 years",18.4
"18-24 years",13.8
"25-34 years",14.7
"35-44 years",15.9
"45-54 years",20.6
"55-64 years",19.9
"65-74 years",23.9
