Age,"Standard deviation"
"7-17 years (education : head of the household)",13.8
"7-11 years (education : head of the household)",12.1
"12-17 years (education : head of the household)",13.6
"18-74 years",20.7
"18-24 years",14.4
"25-34 years",15.2
"35-44 years",18
"45-54 years",21.8
"55-64 years",22.5
"65-74 years",24.6
