| Age                | Mean   |
| ------------------ | ------ |
| 8–11               | 88.13  |
| 12–15              | 111.39 |
| 16–19              | 130.72 |
| 20–29              | 135.17 |
| 30–39              | 134.07 |
| 40–49              | 132.15 |
| 50–59              | 129.69 |
| 60–69              | 128.38 |
| 70–79              | 124.03 |
| 80+                | 116.99 |
| 20+ (age-adjusted) | 130.97 |
