Age,Mean
"8–11 years",88.13
"12–15 years",111.39
"16–19 years",130.72
"20–29 years",135.17
"30–39 years",134.07
"40–49 years",132.15
"50–59 years",129.69
"60–69 years",128.38
"70–79 years",124.03
"80 years and over",116.99
"20 years and over (age-adjusted)",130.97
