Age,"Adult weight (5th)","Adult weight (50th)","Adult weight (95th)"
Birth,4,6,7
"2 months",8,9,10
"3 months",9,10,12
"4 months",9,11,13
"5 months",10,11,14
"6 months",11,12,14
"7 months",10,12,15
"8 months",11,13,15
"9 months",12,14,16
"10 months",12,14,17
"11 months",12,14,17
"1 year",15,17,20
"2 years",17,20,25
"3 years",19,24,30
"4 years",21,27,34
"5 years",23,31,40
"6 years",26,33,47
"7 years",28,37,60
"8 years",30,44,61
"9 years",35,49,77
"10 years",36,55,87
"11 years",41,66,94
"12 years",48,72,107
"13 years",53,82,124
"14 years",67,83,128
"15 years",66,85,119
"16 years",72,86,125
"17 years",66,93,125
"18 years",-,89,-
"19 years",-,93,-
"20 years and over",74,100,157
"20–29 years",72,93,151
"30–39 years",74,100,162
"40–49 years",76,105,160
"50–59 years",79,109,167
"60–69 years",76,105,154
"70–79 years",70,99,149
"80 years and over",64,92,130
