Age,Median
"All ages",886
"2–11 months",234
"1–2 years",582
"3–5 years",726
"6–11 years",758
"12–15 years",700
"16–19 years",731
"20–29 years",940
"30–39 years",994
"40–49 years",972
"50–59 years",1042
"60–69 years",1127
"70–79 years",1007
"80 years and over",977
