| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 1.5  |
| 12–15              | 2.7  |
| 16–19              | 3.7  |
| 20–39              | 4.2  |
| 40–59              | 4.2  |
| 60–79              | 3.7  |
| 80+                | 3.1  |
| 20+                | 4.1  |
| 20+ (age adjusted) | 4    |
