Age,"Sample size"
"8–11 years",1067
"12–15 years",1726
"16–19 years",1751
"20–39 years",2183
"40–59 years",2024
"60–79 years",1851
"80 years and older",501
"20 years and older (crude)",6559
"20 years and older (age adjusted)",6559

