Age,Mean
"8–11 years",0.73
"12–15 years",0.962
"16–19 years",1.05
"20–29 years",1.074
"30–39 years",1.08
"40–49 years",1.066
"50–59 years",1.014
"60–69 years",0.978
"70–79 years",0.952
"80 years and over",0.924
"20 years and over (age-adjusted)",1.038
