| Age                | Mean  |
| ------------------ | ----- |
| 8–11               | 0.685 |
| 12–15              | 0.845 |
| 16–19              | 1.047 |
| 20–29              | 1.064 |
| 30–39              | 1.05  |
| 40–49              | 1.042 |
| 50–59              | 1.034 |
| 60–69              | 1.073 |
| 70–79              | 1.078 |
| 80+                | 1.092 |
| 20+ (age-adjusted) | 1.055 |
