| Age                | Mean  |
| ------------------ | ----- |
| 8–11               | 0.73  |
| 12–15              | 0.962 |
| 16–19              | 1.05  |
| 20–29              | 1.074 |
| 30–39              | 1.08  |
| 40–49              | 1.066 |
| 50–59              | 1.014 |
| 60–69              | 0.978 |
| 70–79              | 0.952 |
| 80+                | 0.924 |
| 20+ (age-adjusted) | 1.038 |
