| Age               | Median |
| ----------------- | ------ |
| All ages          | 1.4    |
| 2–11 months       | 0.5    |
| 1–2 years         | 0.8    |
| 3–5 years         | 0.9    |
| 6–11 years        | 1      |
| 12–15 years       | 1      |
| 16–19 years       | 1.1    |
| 20–29 years       | 1.5    |
| 30–39 years       | 1.9    |
| 40–49 years       | 1.7    |
| 50–59 years       | 1.7    |
| 60–69 years       | 1.7    |
| 70–79 years       | 1.7    |
| 80 years and over | 1.6    |
