Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",309,62.4,0.24,*,58.5,59.6,60.9,62.8,64.5,65.5,66.1,*
"6–8 months",264,68.1,0.23,*,*,65.1,66.3,67.8,69.7,70.6,*,*
"9–11 months",316,72,0.23,*,68.6,69,70,72,73.6,74.6,75.5,*
"1 year",636,80.7,0.22,73.6,75,76,77.5,80.6,83.8,86,87,88.4
"2 years",598,90.6,0.22,83.8,85.1,85.9,87.7,90.1,93.9,95.6,96.5,97.8
"3 years",585,99.4,0.23,92,93.7,95.2,96.4,99.4,102.5,104.1,105.1,107
