Age,"Standard error"
"All ages",5.5
"2–11 months",0.1
"1–2 years",0.6
"3–5 years",0.9
"6–11 years",1.2
"12–15 years",3.4
"16–19 years",5
"20–29 years",14.1
"30–39 years",13.1
"40–49 years",10.2
"50–59 years",22.9
"60–69 years",11.6
"70–79 years",6.3
"80 years and over",6.2
