Age,Mean
"All ages",28
"2–11 months",9
"1–2 years",22
"3–5 years",24
"6–11 years",27
"12–15 years",37
"16–19 years",40
"20–29 years",37
"30–39 years",29
"40–49 years",24
"50–59 years",22
"60–69 years",20
"70–79 years",17
"80 years and over",18
