Age,Mean
"All ages",32
"2–11 months",10
"1–2 years",23
"3–5 years",25
"6–11 years",29
"12–15 years",42
"16–19 years",49
"20–29 years",44
"30–39 years",35
"40–49 years",27
"50–59 years",25
"60–69 years",22
"70–79 years",19
"80 years and over",19
