Age,"Standard error"
"2 years",0.19
"3 years",0.2
"4 years",0.2
"5 years",0.23
"6 years",0.37
"7 years",0.38
"8 years",0.36
"9 years",0.36
"10 years",0.38
"11 years",0.38
"12 years",0.51
"13 years",0.64
"14 years",0.57
"15 years",0.55
"16 years",0.58
"17 years",0.54
"18 years",0.5
"19 years",0.45
"20 years and older",0.09
"20–29 years",0.15
"30–39 years",0.17
"40–49 years",0.18
"50–59 years",0.2
"60–69 years",0.17
"70–79 years",0.21
"80 years and older",0.26
