Age,"Standard error"
"All ages",10.9
"2–11 months",9
"1–2 years",16.9
"3–5 years",12.8
"6–11 years",17.4
"12–15 years",48
"16–19 years",28.4
"20–29 years",26.7
"30–39 years",15.6
"40–49 years",38.3
"50–59 years",39.2
"60–69 years",43.3
"70–79 years",40
"80 years and over",47.1
