Age,Median
"All ages",8.8
"2–11 months",2.3
"1–2 years",5.1
"3–5 years",6.2
"6–11 years",7.5
"12–15 years",7.6
"16–19 years",7.9
"20–29 years",8.9
"30–39 years",9.8
"40–49 years",9.7
"50–59 years",10.4
"60–69 years",9.9
"70–79 years",9.6
"80 years and over",9.3
