Age,Median
"All ages",10
"2–11 months",2.4
"1–2 years",5.4
"3–5 years",6.6
"6–11 years",8
"12–15 years",8.3
"16–19 years",9.5
"20–29 years",10.5
"30–39 years",11.4
"40–49 years",11.1
"50–59 years",12
"60–69 years",11.6
"70–79 years",10.7
"80 years and over",10.3
