Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,72.22,21.71,44.1,48.01,51.25,56.47,68.35,83.83,93.65,102.53,113.52
"12–15 years",2318,121.2,26.56,78.06,88.63,94.76,103.77,120.04,136.94,148.2,155.62,167
"16–19 years",2027,140.77,25.51,101.46,110.1,114.37,123.54,139.41,155.43,165.53,173.09,184.55
"20–29 years",1378,148.63,25.11,110.79,117.37,122.23,130.6,147.49,164.14,174.14,181.14,192.17
"30–39 years",1372,152.66,24.76,116.52,123.41,128.18,134.34,150.94,167.92,177.29,185.48,197.35
"40–49 years",1570,155,25.11,116.84,124.51,129.64,137.52,153.71,168.93,180.35,187.82,197.71
"50–59 years",1200,148.79,25.19,108.49,117.51,123.44,132.02,147.47,164.97,175.16,181.73,192.62
"60–69 years",1419,139.9,27.89,98.77,107.09,112.73,120.52,138.2,155.54,165.89,173.14,185.86
"70–79 years",750,126.43,26.01,87.74,95.14,100.54,107.69,124.6,142.82,152.28,158.8,175.57
"80 years and over",594,109.83,25.8,68.12,77.74,82.6,92.74,108.06,126.1,137.23,143.37,152.52
"20 years and over (age-adjusted)",8283,146.35,,,,,,,,,,
