Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,285.59,80.31,182.48,202.03,211.18,227.76,266.78,326.01,366.46,398.36,440.93
"12–15 years",2318,493.68,107.63,327.28,359.72,381.36,418.86,489.73,561.83,605.69,633.83,677.83
"16–19 years",2027,571.01,103.83,411.68,442.43,468.34,498.37,561.18,634.75,675.91,709.73,749.8
"20–29 years",1378,583.2,101.41,435.36,461.88,483.16,510.55,574.47,644.14,683.26,714.78,754.81
"30–39 years",1372,588.59,107.44,433.16,461.23,480.1,513.86,578.45,650.16,699.14,726.32,770.8
"40–49 years",1570,581.2,112.82,422.79,452.23,472.94,502.54,566.62,647.51,694.02,726.9,779.68
"50–59 years",1200,540.99,109.3,381.7,417.87,434.42,463.22,530.16,605.76,647.16,681.58,734.88
"60–69 years",1419,500.99,109.69,344.29,372.35,391.13,425.26,489.86,566.51,608.3,639.07,698.03
"70–79 years",750,450.87,94.14,309.24,336.88,356.21,385.45,448.2,504.95,541.83,569.96,612.69
"80 years and over",594,392.26,88.07,259.52,281.57,301.17,332.29,381.8,443.19,479.73,504.86,543.55
"20 years and over (age-adjusted)",8283,549.08,,,,,,,,,,
