Age,"Standard deviation"
"7-74 years",13.7
"7-11 years",9
"12-17 years",9.6
"18-24 years",10.6
"25-34 years",9.8
"35-44 years",11.2
"45-54 years",12.3
"55-64 years",13.5
"65-74 years",13.9
