Age,"Standard deviation"
"7-74 years",13.7
"7-11 years",11.3
"12-17 years",9.3
"18-24 years",11
"25-34 years",10.7
"35-44 years",13.3
"45-54 years",14.3
"55-64 years",10.9
"65-74 years",12.8
