Age,"Standard deviation"
"7-74 years",13.8
"7-11 years",10.3
"12-17 years",9.6
"18-24 years",11
"25-34 years",10.7
"35-44 years",12.8
"45-54 years",13.8
"55-64 years",12.1
"65-74 years",13.3
