Age,Mean
"7-17 years (education : head of the household)",67
"7-11 years (education : head of the household)",64.8
"12-17 years (education : head of the household)",68.9
"18-74 years",79.1
"18-24 years",71.7
"25-34 years",75.9
"35-44 years",79.8
"45-54 years",83
"55-64 years",85.7
"65-74 years",85.4
"Age-adjusted value (18-74 years)",79.6
