| Age               | Median |
| ----------------- | ------ |
| All ages          | 4.8    |
| 2–11 months       | 8.6    |
| 1–2 years         | 5.7    |
| 3–5 years         | 5.6    |
| 6–11 years        | 6      |
| 12–15 years       | 5.6    |
| 16–19 years       | 5.1    |
| 20–29 years       | 4      |
| 30–39 years       | 4.2    |
| 40–49 years       | 4.2    |
| 50–59 years       | 4.3    |
| 60–69 years       | 4.7    |
| 70–79 years       | 4.7    |
| 80 years and over | 4.9    |
