Age,Median
"All ages",3.6
"2–11 months",8
"1–2 years",5.2
"3–5 years",5
"6–11 years",5
"12–15 years",3.7
"16–19 years",3.3
"20–29 years",2.9
"30–39 years",3.1
"40–49 years",3
"50–59 years",3.1
"60–69 years",3.6
"70–79 years",3.8
"80 years and over",3.8
