| Age               | Median |
| ----------------- | ------ |
| All ages          | 4.1    |
| 2–11 months       | 8.3    |
| 1–2 years         | 5.5    |
| 3–5 years         | 5.4    |
| 6–11 years        | 5.5    |
| 12–15 years       | 4.8    |
| 16–19 years       | 4.1    |
| 20–29 years       | 3.5    |
| 30–39 years       | 3.4    |
| 40–49 years       | 3.5    |
| 50–59 years       | 3.6    |
| 60–69 years       | 4      |
| 70–79 years       | 4.1    |
| 80 years and over | 4.3    |
